"locus","chrom","pos","cM"
"SNP0552","12",1886634,NA
"SNP0553","12",1935481,NA
"SNP0554","12",1998212,NA
"SNP0555","12",2063514,NA
"SNP0556","12",2553541,NA
"SNP0557","12",2964008,NA
"SNP0558","12",3259837,NA
"SNP0559","12",3680355,NA
"SNP0560","12",3981908,NA
"SNP0561","12",4416664,NA
"SNP0562","12",4503420,NA
"SNP0563","12",4895244,NA
"SNP0564","12",5373458,NA
"SNP0565","12",5649260,NA
"SNP0566","12",5942182,NA
"SNP0567","12",6398191,NA
"SNP0568","12",6808013,NA
"SNP0569","12",6958030,NA
"SNP0570","12",7396647,NA
"SNP0571","12",7652483,NA
"SNP0572","12",7817780,NA
"SNP0573","12",7908328,NA
"SNP0574","12",8301789,NA
"SNP0575","12",8588243,NA
"SNP0576","12",8768443,NA
"SNP0577","12",9014311,NA
"SNP0578","12",9491799,NA
"SNP0579","12",9563274,NA
"SNP0580","12",9669091,NA
"SNP0581","12",9966706,NA
"SNP0582","12",9995952,NA
"SNP0583","12",10041391,NA
"SNP0584","12",10293140,NA
"SNP0585","12",10361604,NA
"SNP0586","12",10599672,NA
"SNP0587","12",10885727,NA
"SNP0588","12",11365345,NA
"SNP0589","12",11506123,NA
"SNP0590","12",11941941,NA
"SNP0591","12",12277906,NA
"SNP0592","12",12640190,NA
"SNP0593","12",13072020,NA
"SNP0594","12",13484652,NA
"SNP0595","12",13513988,NA
"SNP0596","12",13936476,NA
"SNP0597","12",14176664,NA
"SNP0598","12",14412149,NA
"SNP0599","12",14881077,NA
"SNP0600","12",15109857,NA
"SNP0601","13",1027843,NA
"SNP0602","13",1139417,NA
"SNP0603","13",1370801,NA
"SNP0604","13",1675083,NA
"SNP0605","13",1718242,NA
"SNP0606","13",2198496,NA
"SNP0607","13",2651118,NA
"SNP0608","13",2766707,NA
"SNP0609","13",2990750,NA
"SNP0610","13",3382262,NA
"SNP0611","13",3611330,NA
"SNP0612","13",3810381,NA
"SNP0613","13",4044802,NA
"SNP0614","13",4096180,NA
"SNP0615","13",4496013,NA
"SNP0616","13",4773296,NA
"SNP0617","13",5099744,NA
"SNP0618","13",5317561,NA
"SNP0619","13",5800263,NA
"SNP0620","13",6056910,NA
"SNP0621","13",6437307,NA
"SNP0622","13",6602528,NA
"SNP0623","13",6678783,NA
"SNP0624","13",6769396,NA
"SNP0625","13",7237136,NA
"SNP0626","13",7296356,NA
"SNP0627","13",7330163,NA
"SNP0628","13",7668681,NA
"SNP0629","13",8107961,NA
"SNP0630","13",8503410,NA
"SNP0631","13",8906275,NA
"SNP0632","13",9359681,NA
"SNP0633","13",9655983,NA
"SNP0634","13",9904241,NA
"SNP0635","13",9924225,NA
"SNP0636","13",10303852,NA
"SNP0637","13",10334687,NA
"SNP0638","13",10498811,NA
"SNP0639","13",10969799,NA
"SNP0640","13",11189266,NA
"SNP0641","13",11438824,NA
"SNP0642","13",11620688,NA
"SNP0643","13",11672753,NA
"SNP0644","13",11746338,NA
"SNP0645","13",11836575,NA
"SNP0646","13",12164482,NA
"SNP0647","13",12528646,NA
"SNP0648","13",12569079,NA
"SNP0649","13",12621796,NA
"SNP0650","13",12768848,NA
"SNP0651","14",1389853,NA
"SNP0652","14",1408339,NA
"SNP0653","14",1793339,NA
"SNP0654","14",1944895,NA
"SNP0655","14",2315943,NA
"SNP0656","14",2674501,NA
"SNP0657","14",2891183,NA
"SNP0658","14",3090803,NA
"SNP0659","14",3551221,NA
"SNP0660","14",3783891,NA
"SNP0661","14",4026163,NA
"SNP0662","14",4265693,NA
"SNP0663","14",4758330,NA
"SNP0664","14",5077602,NA
"SNP0665","14",5529356,NA
"SNP0666","14",5972747,NA
"SNP0667","14",6080275,NA
"SNP0668","14",6266385,NA
"SNP0669","14",6401520,NA
"SNP0670","14",6588212,NA
"SNP0671","14",6712960,NA
"SNP0672","14",6742701,NA
"SNP0673","14",7076056,NA
"SNP0674","14",7572976,NA
"SNP0675","14",8058759,NA
"SNP0676","14",8458648,NA
"SNP0677","14",8588836,NA
"SNP0678","14",8895089,NA
"SNP0679","14",9098270,NA
"SNP0680","14",9297196,NA
"SNP0681","14",9698105,NA
"SNP0682","14",10195936,NA
"SNP0683","14",10303220,NA
"SNP0684","14",10453204,NA
"SNP0685","14",10838083,NA
"SNP0686","14",11305591,NA
"SNP0687","14",11504371,NA
"SNP0688","14",11908269,NA
"SNP0689","14",12067422,NA
"SNP0690","14",12516031,NA
"SNP0691","14",12814859,NA
"SNP0692","14",12933365,NA
"SNP0693","14",13261139,NA
"SNP0694","14",13709595,NA
"SNP0695","14",14082254,NA
"SNP0696","14",14438662,NA
"SNP0697","14",14627609,NA
"SNP0698","14",14761683,NA
"SNP0699","14",15120390,NA
"SNP0700","14",15534558,NA
"SNP0701","15",1327291,NA
"SNP0702","15",1656705,NA
"SNP0703","15",2089903,NA
"SNP0704","15",2100765,NA
"SNP0705","15",2256093,NA
"SNP0706","15",2279862,NA
"SNP0707","15",2746891,NA
"SNP0708","15",3105593,NA
"SNP0709","15",3136325,NA
"SNP0710","15",3465843,NA
"SNP0711","15",3861123,NA
"SNP0712","15",4005681,NA
"SNP0713","15",4488598,NA
"SNP0714","15",4824726,NA
"SNP0715","15",5272312,NA
"SNP0716","15",5288340,NA
"SNP0717","15",5768377,NA
"SNP0718","15",5792716,NA
"SNP0719","15",6003677,NA
"SNP0720","15",6286781,NA
"SNP0721","15",6488093,NA
"SNP0722","15",6838327,NA
"SNP0723","15",6928021,NA
"SNP0724","15",7058969,NA
"SNP0725","15",7354696,NA
"SNP0726","15",7801614,NA
"SNP0727","15",8018436,NA
"SNP0728","15",8470595,NA
"SNP0729","15",8839688,NA
"SNP0730","15",9129199,NA
"SNP0731","15",9388298,NA
"SNP0732","15",9493508,NA
"SNP0733","15",9888206,NA
"SNP0734","15",10246555,NA
"SNP0735","15",10517229,NA
"SNP0736","15",10832701,NA
"SNP0737","15",11120183,NA
"SNP0738","15",11447841,NA
"SNP0739","15",11531720,NA
"SNP0740","15",11927376,NA
"SNP0741","15",12246854,NA
"SNP0742","15",12657487,NA
"SNP0743","15",13084440,NA
"SNP0744","15",13418319,NA
"SNP0745","15",13470616,NA
"SNP0746","15",13578462,NA
"SNP0747","15",14006753,NA
"SNP0748","15",14301393,NA
"SNP0749","15",14650559,NA
"SNP0750","15",14920335,NA
"SNP0751","16",1490832,NA
"SNP0752","16",1955342,NA
"SNP0753","16",2199433,NA
"SNP0754","16",2261713,NA
"SNP0755","16",2616760,NA
"SNP0756","16",2954345,NA
"SNP0757","16",3326989,NA
"SNP0758","16",3720044,NA
"SNP0759","16",3999415,NA
"SNP0760","16",4435380,NA
"SNP0761","16",4588585,NA
"SNP0762","16",4695911,NA
"SNP0763","16",5190995,NA
"SNP0764","16",5213247,NA
"SNP0765","16",5552709,NA
"SNP0766","16",5584902,NA
"SNP0767","16",5850664,NA
"SNP0768","16",6232115,NA
"SNP0769","16",6402204,NA
"SNP0770","16",6740266,NA
"SNP0771","16",6872066,NA
"SNP0772","16",7089753,NA
"SNP0773","16",7517503,NA
"SNP0774","16",7677634,NA
"SNP0775","16",7798054,NA
"SNP0776","16",8099540,NA
"SNP0777","16",8411292,NA
"SNP0778","16",8642793,NA
"SNP0779","16",8654144,NA
"SNP0780","16",8883342,NA
"SNP0781","16",9009878,NA
"SNP0782","16",9138351,NA
"SNP0783","16",9222769,NA
"SNP0784","16",9590782,NA
"SNP0785","16",9946222,NA
"SNP0786","16",9992336,NA
"SNP0787","16",10244247,NA
"SNP0788","16",10272773,NA
"SNP0789","16",10589809,NA
"SNP0790","16",10895169,NA
"SNP0791","16",11110762,NA
"SNP0792","16",11473811,NA
"SNP0793","16",11737735,NA
"SNP0794","16",12061441,NA
"SNP0795","16",12351057,NA
"SNP0796","16",12763343,NA
"SNP0797","16",12891117,NA
"SNP0798","16",12977611,NA
"SNP0799","16",13235353,NA
"SNP0800","16",13597085,NA
"SNP0801","17",1068176,NA
"SNP0802","17",1149877,NA
"SNP0803","17",1482108,NA
"SNP0804","17",1808514,NA
"SNP0805","17",2110203,NA
"SNP0806","17",2427352,NA
"SNP0807","17",2503146,NA
"SNP0808","17",2882844,NA
"SNP0809","17",3366047,NA
"SNP0810","17",3433968,NA
"SNP0811","17",3884325,NA
"SNP0812","17",4244818,NA
"SNP0813","17",4576777,NA
"SNP0814","17",4894852,NA
"SNP0815","17",5322534,NA
"SNP0816","17",5482559,NA
"SNP0817","17",5755701,NA
"SNP0818","17",6247471,NA
"SNP0819","17",6546692,NA
"SNP0820","17",6983837,NA
"SNP0821","17",7052402,NA
"SNP0822","17",7264809,NA
"SNP0823","17",7355781,NA
"SNP0824","17",7571780,NA
"SNP0825","17",7828962,NA
"SNP0826","17",7966097,NA
"SNP0827","17",8343614,NA
"SNP0828","17",8829604,NA
"SNP0829","17",9124416,NA
"SNP0830","17",9365843,NA
"SNP0831","17",9845198,NA
"SNP0832","17",10143446,NA
"SNP0833","17",10495327,NA
"SNP0834","17",10706381,NA
"SNP0835","17",11200749,NA
"SNP0836","17",11538699,NA
"SNP0837","17",11820588,NA
"SNP0838","17",12093124,NA
"SNP0839","17",12432689,NA
"SNP0840","17",12692528,NA
"SNP0841","17",12886523,NA
"SNP0842","17",13322980,NA
"SNP0843","17",13355658,NA
"SNP0844","17",13706716,NA
"SNP0845","17",14111464,NA
"SNP0846","17",14586120,NA
"SNP0847","17",14717390,NA
"SNP0848","17",14948080,NA
"SNP0849","17",15342852,NA
"SNP0850","17",15718152,NA
"SNP0851","18",1402826,NA
"SNP0852","18",1781559,NA
"SNP0853","18",1984285,NA
"SNP0854","18",2170314,NA
"SNP0855","18",2308817,NA
"SNP0856","18",2625105,NA
"SNP0857","18",2740362,NA
"SNP0858","18",2950287,NA
"SNP0859","18",3319373,NA
"SNP0860","18",3537425,NA
"SNP0861","18",3593633,NA
"SNP0862","18",3718704,NA
"SNP0863","18",4028368,NA
"SNP0864","18",4230395,NA
"SNP0865","18",4589381,NA
"SNP0866","18",4768193,NA
"SNP0867","18",4778759,NA
"SNP0868","18",5258197,NA
"SNP0869","18",5464227,NA
"SNP0870","18",5523328,NA
"SNP0871","18",5794275,NA
"SNP0872","18",6257226,NA
"SNP0873","18",6627306,NA
